rank,MSE,varb,intercept,slope,subset_indices,subset_indices_sp
1,0.007002122698889017,0.12500000000000006,532.9736688008104,0.007321533921475193,2 3 5 6 7 8 10 11 13,1 2 3 4 5 6 7 8 9
2,0.007099065321130342,0.12500000000000006,532.9698790594539,0.007354786869925896,2 3 5 6 7 8 10 12 13,1 2 3 4 5 6 7 8 9
3,0.007575068174997003,0.12500000000000006,532.9738254966621,0.007332420708989075,2 3 5 6 7 9 10 11 13,1 2 3 4 5 6 7 8 9
4,0.007629503459913913,0.12500000000000006,532.9700357553056,0.007365673657440299,2 3 5 6 7 9 10 12 13,1 2 3 4 5 6 7 8 9
5,0.007855088038846828,0.12500000000000006,533.2263972532562,0.006234811032413859,3 4 5 6 7 8 9 10 11,1 2 3 4 5 6 7 8 9
6,0.007960655552520164,0.12500000000000006,533.2210060107537,0.006274445375752694,3 4 5 6 7 8 9 10 12,1 2 3 4 5 6 7 8 9
7,0.00893376612269776,0.12500000000000006,533.0280462792421,0.006821507901640484,2 3 5 6 7 8 9 10 12,1 2 3 4 5 6 7 8 9
8,0.009290468404429883,0.12500000000000006,533.0334375217449,0.0067818735583001265,2 3 5 6 7 8 9 10 11,1 2 3 4 5 6 7 8 9
9,0.009402558185494712,0.12500000000000006,532.9858518055127,0.007157877484230561,2 3 5 6 7 8 9 11 13,1 2 3 4 5 6 7 8 9
10,0.010000141522277246,0.12500000000000006,533.0096521687562,0.006982906358754962,2 3 5 6 7 8 9 11 12,1 2 3 4 5 6 7 8 9
